node1,node2,route_distance,Heuristic distance
Agra,Gaya,871,748
Agra,Madhepura,970,840
Agra,Belagavi,1561,1305
Agra,Jodhpur,570,506
Agra,Pakur,1218,1025
Agra,Durgapur,1104,1019
Agra,Chitrakoot,426,361
Agra,Balaghat,793,633
Aligarh,Rajsamand,619,523
Aligarh,Patna,842,746
Aligarh,Una,505,433
Aligarh,Bundi,453,365
Aligarh,Madhepura,973,844
Aligarh,Belagavi,1660,1384
Aligarh,Hanamkonda,1350,1105
Aligarh,Delhi,163,131
Aligarh,Pakur,1221,1039
Aligarh,Bikaner,525,470
Aligarh,Ghazipur,680,603
Araria,Rajsamand,1635,1367
Araria,Patna,313,239
Araria,Gaya,396,287
Araria,Kota,1396,1167
Araria,Sikar,1448,1233
Araria,Prayagraj,673,567
Araria,Daudnagar,417,330
Araria,Hanamkonda,1647,1213
Araria,Sitamarhi,238,201
Araria,Sitapur,853,691
Araria,Delhi,1275,1061
Araria,Faridabad,1272,1034
Araria,Pakur,236,170
Araria,Baghpat,1278,1056
Araria,Ghazipur,470,393
Araria,Sri Ganganagar,1716,1397
Araria,Balaghat,1210,880
Arrah,Lucknow,452,398
Arrah,Sikar,1138,975
Arrah,Bhopal,940,778
Arrah,Bundi,1118,906
Arrah,Sarangarh,639,468
Arrah,Lakhimpur,595,468
Arrah,Delhi,964,826
Arrah,Faridabad,961,794
Arrah,Mahoba,557,481
Arrah,Pakur,432,336
Arrah,Sagar,772,629
Arrah,Nawada,155,115
Arrah,Ghazipur,122,109
Arrah,Jaipur,1024,899
Arrah,Chitrakoot,445,384
Arrah,Jehanabad,80,49
Baghpat,Araria,1278,1056
Baghpat,Prayagraj,664,600
Baghpat,Hanamkonda,1520,1234
Baghpat,Delhi,48,29
Baghpat,Faridabad,67,59
Baghpat,Baghpat,0,0
Baghpat,Nawada,1097,939
Baghpat,Mirzapur,760,676
Baghpat,Chitrakoot,653,551
Baghpat,Palamu,1079,888
Baghpat,Jehanabad,1038,873
Balaghat,Agra,793,633
Balaghat,Araria,1210,880
Balaghat,Lucknow,732,563
Balaghat,Bundi,801,612
Balaghat,Lakhimpur,902,682
Balaghat,Delhi,1011,823
Balaghat,Jodhpur,1151,877
Balaghat,Ghazipur,756,542
Belagavi,Agra,1561,1305
Belagavi,Aligarh,1660,1384
Belagavi,Rajsamand,1269,1022
Belagavi,Gaya,1865,1476
Belagavi,Sikar,1576,1303
Belagavi,Bundi,1245,1067
Belagavi,Sarangarh,1384,1104
Belagavi,Hanamkonda,737,589
Belagavi,Faridabad,1684,1420
Belagavi,Mahoba,1488,1186
Belagavi,Nawada,1925,1525
Belagavi,Bikaner,1630,1353
Belagavi,Ghazipur,1718,1433
Bhagalpur,Sitapur,826,679
Bhagalpur,Delhi,1248,1052
Bhagalpur,Pakur,151,110
Bhopal,Arrah,940,778
